"year","round","date","time","region","venue","hteam","ateam","hscore","ascore"
2022,2,2022-03-25,"19:50:00","NSW","S.C.G.","Sydney","Geelong",107,77
2022,2,2022-03-24,"19:20:00","VIC","Docklands","Western Bulldogs","Carlton",90,102
2022,3,2022-04-01,"19:50:00","SA","Adelaide Oval","Adelaide","Port Adelaide",96,92
2022,3,2022-04-02,"19:00:00","QLD","Gabba","Brisbane Lions","North Melbourne",156,48
2022,3,2022-04-03,"13:10:00","VIC","M.C.G.","Carlton","Hawthorn",74,73
2022,3,2022-04-02,"19:25:00","VIC","M.C.G.","Collingwood","Geelong",91,104
2022,3,2022-04-02,"16:35:00","NSW","Sydney Showground","Greater Western Sydney","Gold Coast",83,57
2022,3,2022-04-01,"19:20:00","VIC","M.C.G.","Melbourne","Essendon",99,70
2022,3,2022-04-03,"15:20:00","VIC","Docklands","St Kilda","Richmond",117,84
2022,3,2022-04-03,"16:20:00","WA","Perth Stadium","West Coast","Fremantle",47,102
2022,3,2022-03-31,"19:20:00","VIC","Docklands","Western Bulldogs","Sydney",71,60
2022,4,2022-04-09,"16:35:00","VIC","Docklands","Collingwood","West Coast",74,87
2022,4,2022-04-10,"13:10:00","VIC","Docklands","Essendon","Adelaide",103,99
2022,4,2022-04-09,"17:25:00","WA","Perth Stadium","Fremantle","Greater Western Sydney",88,54
2022,4,2022-04-08,"19:50:00","VIC","Kardinia Park","Geelong","Brisbane Lions",80,70
2022,4,2022-04-10,"16:10:00","QLD","Carrara","Gold Coast","Carlton",92,62
2022,4,2022-04-10,"15:20:00","VIC","M.C.G.","Hawthorn","St Kilda",73,142
2022,4,2022-04-07,"19:10:00","SA","Adelaide Oval","Port Adelaide","Melbourne",36,68
2022,4,2022-04-09,"19:25:00","VIC","M.C.G.","Richmond","Western Bulldogs",99,61
2022,4,2022-04-09,"14:40:00","NSW","S.C.G.","Sydney","North Melbourne",86,75
2022,5,2022-04-16,"16:05:00","SA","Adelaide Oval","Adelaide","Richmond",101,82
2022,5,2022-04-14,"19:35:00","QLD","Gabba","Brisbane Lions","Collingwood",98,91
2022,5,2022-04-17,"13:40:00","VIC","M.C.G.","Carlton","Port Adelaide",94,91
2022,5,2022-04-17,"16:40:00","VIC","Docklands","Essendon","Fremantle",59,107
2022,5,2022-04-18,"15:20:00","VIC","M.C.G.","Hawthorn","Geelong",92,80
2022,5,2022-04-16,"19:25:00","VIC","M.C.G.","Melbourne","Greater Western Sydney",120,53
2022,5,2022-04-15,"16:20:00","VIC","Docklands","North Melbourne","Western Bulldogs",71,139
2022,5,2022-04-16,"13:45:00","VIC","Docklands","St Kilda","Gold Coast",87,61
2022,5,2022-04-15,"17:40:00","WA","Perth Stadium","West Coast","Sydney",58,121
2022,6,2022-04-25,"15:20:00","VIC","M.C.G.","Essendon","Collingwood",82,93
2022,6,2022-04-23,"17:40:00","WA","Perth Stadium","Fremantle","Carlton",97,62
2022,6,2022-04-24,"16:10:00","QLD","Carrara","Gold Coast","Brisbane Lions",80,132
2022,6,2022-04-22,"19:50:00","ACT","Manuka Oval","Greater Western Sydney","St Kilda",60,77
2022,6,2022-04-25,"12:30:00","TAS","York Park","Hawthorn","Sydney",68,109
2022,6,2022-04-24,"13:10:00","TAS","Bellerive Oval","North Melbourne","Geelong",61,121
2022,6,2022-04-23,"16:05:00","SA","Adelaide Oval","Port Adelaide","West Coast",117,33
2022,6,2022-04-24,"19:25:00","VIC","M.C.G.","Richmond","Melbourne",54,76
2022,6,2022-04-23,"13:45:00","VIC","Eureka Stadium","Western Bulldogs","Adelaide",62,63
2022,7,2022-04-30,"13:40:00","SA","Adelaide Oval","Adelaide","Greater Western Sydney",54,113
2022,7,2022-04-30,"19:25:00","VIC","Docklands","Carlton","North Melbourne",114,64
2022,7,2022-05-01,"13:10:00","VIC","M.C.G.","Collingwood","Gold Coast",115,90
2022,7,2022-04-30,"13:45:00","VIC","Kardinia Park","Geelong","Fremantle",66,69
2022,7,2022-04-30,"16:35:00","VIC","M.C.G.","Melbourne","Hawthorn",91,81
2022,7,2022-04-30,"19:25:00","QLD","Cazaly's Stadium","St Kilda","Port Adelaide",42,43
2022,7,2022-05-01,"16:40:00","NSW","S.C.G.","Sydney","Brisbane Lions",89,113
2022,7,2022-04-29,"18:10:00","WA","Perth Stadium","West Coast","Richmond",56,165
2022,7,2022-05-01,"15:20:00","VIC","Docklands","Western Bulldogs","Essendon",103,71
2022,8,2022-05-07,"19:25:00","QLD","Gabba","Brisbane Lions","West Coast",105,30
2022,8,2022-05-08,"16:40:00","VIC","Docklands","Carlton","Adelaide",116,68
2022,8,2022-05-07,"19:25:00","VIC","Docklands","Essendon","Hawthorn",108,81
2022,8,2022-05-06,"18:40:00","WA","Perth Stadium","Fremantle","North Melbourne",102,24
2022,8,2022-05-07,"16:35:00","ACT","Manuka Oval","Greater Western Sydney","Geelong",35,88
2022,8,2022-05-08,"13:10:00","VIC","M.C.G.","Melbourne","St Kilda",93,55
2022,8,2022-05-06,"19:00:00","SA","Adelaide Oval","Port Adelaide","Western Bulldogs",86,69
2022,8,2022-05-07,"13:45:00","VIC","M.C.G.","Richmond","Collingwood",113,86
2022,8,2022-05-07,"13:45:00","NSW","S.C.G.","Sydney","Gold Coast",61,75
2022,9,2022-05-14,"19:10:00","SA","Adelaide Oval","Adelaide","Brisbane Lions",66,102
2022,9,2022-05-13,"19:50:00","VIC","Docklands","Collingwood","Western Bulldogs",51,99
2022,9,2022-05-15,"13:40:00","QLD","Carrara","Gold Coast","Fremantle",69,33
2022,9,2022-05-15,"15:20:00","NSW","Sydney Showground","Greater Western Sydney","Carlton",75,105
2022,9,2022-05-14,"13:45:00","VIC","M.C.G.","Hawthorn","Richmond",94,117
2022,9,2022-05-14,"14:10:00","TAS","Bellerive Oval","North Melbourne","Port Adelaide",46,115
2022,9,2022-05-14,"16:35:00","VIC","Docklands","St Kilda","Geelong",90,80
2022,9,2022-05-14,"19:25:00","NSW","S.C.G.","Sydney","Essendon",105,47
2022,9,2022-05-15,"15:20:00","WA","Perth Stadium","West Coast","Melbourne",38,112
2022,10,2022-05-21,"19:00:00","SA","Adelaide Oval","Adelaide","St Kilda",69,90
2022,10,2022-05-20,"19:50:00","VIC","Docklands","Carlton","Sydney",102,87
2022,10,2022-05-22,"15:20:00","WA","Perth Stadium","Fremantle","Collingwood",44,80
2022,10,2022-05-21,"13:45:00","VIC","Kardinia Park","Geelong","Port Adelaide",82,47
2022,10,2022-05-22,"14:10:00","NSW","Sydney Showground","Greater Western Sydney","West Coast",138,86
2022,10,2022-05-22,"15:20:00","TAS","York Park","Hawthorn","Brisbane Lions",117,112
2022,10,2022-05-21,"16:35:00","VIC","Docklands","North Melbourne","Melbourne",53,100
2022,10,2022-05-21,"19:30:00","VIC","M.C.G.","Richmond","Essendon",80,48
2022,10,2022-05-21,"13:45:00","VIC","Eureka Stadium","Western Bulldogs","Gold Coast",106,87
2022,11,2022-05-28,"13:45:00","QLD","Gabba","Brisbane Lions","Greater Western Sydney",110,96
2022,11,2022-05-29,"15:20:00","VIC","M.C.G.","Collingwood","Carlton",79,75
2022,11,2022-05-28,"13:45:00","VIC","Kardinia Park","Geelong","Adelaide",97,55
2022,11,2022-05-28,"19:10:00","NT","Marrara Oval","Gold Coast","Hawthorn",121,54
