"year","round","date","time","region","venue","hteam","ateam","hscore","ascore","is_grand_final","is_final","home_win","hdiff"
2012,25,2012-09-15,"19:45:00","VIC","M.C.G.","Collingwood","West Coast",73,60,0,4,1,13
2012,26,2012-09-22,"17:15:00","VIC","M.C.G.","Hawthorn","Adelaide",97,92,0,5,1,5
2012,26,2012-09-21,"19:50:00","NSW","Stadium Australia","Sydney","Collingwood",96,70,0,5,1,26
2012,27,2012-09-29,"14:30:00","VIC","M.C.G.","Hawthorn","Sydney",81,91,1,6,0,-10
2013,1,2013-03-22,"20:10:00","SA","Football Park","Adelaide","Essendon",82,117,0,0,0,-35
2013,1,2013-03-28,"19:40:00","VIC","M.C.G.","Carlton","Richmond",101,106,0,0,0,-5
2013,1,2013-03-23,"16:40:00","WA","Subiaco","Fremantle","West Coast",108,80,0,0,1,28
2013,1,2013-03-30,"18:45:00","QLD","Carrara","Gold Coast","St Kilda",90,77,0,0,1,13
2013,1,2013-03-30,"16:40:00","NSW","Stadium Australia","Greater Western Sydney","Sydney",76,106,0,0,0,-30
2013,1,2013-04-01,"15:20:00","VIC","M.C.G.","Hawthorn","Geelong",86,93,0,0,0,-7
2013,1,2013-03-31,"13:10:00","VIC","M.C.G.","Melbourne","Port Adelaide",54,133,0,0,0,-79
2013,1,2013-03-31,"16:40:00","VIC","Docklands","North Melbourne","Collingwood",87,103,0,0,0,-16
2013,1,2013-03-30,"13:40:00","VIC","Docklands","Western Bulldogs","Brisbane Lions",127,59,0,0,1,68
2013,2,2013-04-06,"15:40:00","QLD","Gabba","Brisbane Lions","Adelaide",77,96,0,0,0,-19
2013,2,2013-04-07,"15:20:00","VIC","M.C.G.","Collingwood","Carlton",117,100,0,0,1,17
2013,2,2013-04-06,"19:40:00","VIC","M.C.G.","Essendon","Melbourne",184,36,0,0,1,148
2013,2,2013-04-07,"13:10:00","VIC","Docklands","Geelong","North Melbourne",112,108,0,0,1,4
2013,2,2013-04-06,"19:10:00","SA","Football Park","Port Adelaide","Greater Western Sydney",134,78,0,0,1,56
2013,2,2013-04-05,"19:50:00","VIC","M.C.G.","St Kilda","Richmond",82,99,0,0,0,-17
2013,2,2013-04-06,"13:45:00","NSW","S.C.G.","Sydney","Gold Coast",114,73,0,0,1,41
2013,2,2013-04-07,"14:40:00","WA","Subiaco","West Coast","Hawthorn",98,148,0,0,0,-50
2013,2,2013-04-06,"14:10:00","VIC","Docklands","Western Bulldogs","Fremantle",78,106,0,0,0,-28
2013,3,2013-04-14,"15:15:00","VIC","M.C.G.","Collingwood","Hawthorn",90,145,0,0,0,-55
2013,3,2013-04-12,"18:40:00","WA","Subiaco","Fremantle","Essendon",68,72,0,0,0,-4
2013,3,2013-04-13,"19:40:00","VIC","Docklands","Geelong","Carlton",119,103,0,0,1,16
